Ticker,Name,Sector,Industry,MarketCap,EPS,PE,PS,BookMarket,DivRatio
0,DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software,2045077054.0,-0.46,-26.52,2.0,0.42,0.0
1,MMM,3M Company,Health Care,Medical/Dental Instruments,1.23317884925e+11,7.64,25.57,3.53,0.09,5.24
2,EGHT,8x8 Inc,Technology,EDP Services,1816977159.0,-1.47,-11.86,6.35,0.14,0.0
4,AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines,96874088.0,0.33,13.41,0.45,,0.47
5,AOS,A.O Smith Corporation,Consumer Durables,Consumer Electronics/Appliances,1363485625.0,1.99,22.99,2.49,1.47,0.68
6,AIR,AAR Corp.,Capital Goods,Aerospace,1607087666.0,0.59,78.61,0.87,,0.3
7,AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services,3750083580.0,4.47,11.32,0.95,0.52,0.09
8,ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,1.25574174349e+11,0.5,139.75,4.07,0.25,1.11
9,ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,1.43568194497e+11,4.83,17.72,4.17,-0.02,3.29
10,ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores,1320313615.0,0.72,26.78,0.38,0.9,0.79
11,ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services,2114501073.0,1.3,24.71,0.33,0.69,0.7
12,AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts,2226601743.0,,,,0.9,
13,ACN,Accenture plc,Miscellaneous,Business Services,1.1552623601e+11,6.46,24.36,2.38,0.1,2.72
14,ACCO,Acco Brands Corporation,Consumer Durables,Publishing,1171762498.0,1.38,5.96,0.44,0.89,0.18
15,ATU,Actuant Corporation,Technology,Industrial Machinery/Components,1669744136.0,-0.36,-68.54,1.25,0.37,0.04
16,AYI,"Acuity Brands, Inc. ",Consumer Durables,Building Products,5185361018.0,8.55,15.33,1.46,0.33,0.52
