Date,AAPL,ADBE,COP,CSCO,CVX,EMR,EOG,FB,GE,GOOG,IBM,INTC,MSFT,NVDA,ORCL,OXY,PSX,SLB,VLO,XOM
2017-12-29,169.229995728,175.240005493,54.8899993896,38.2999992371,125.190002441,69.6900024414,107.910003662,176.460006714,16.7788467407,1046.40002441,153.419998169,46.1599998474,85.5400009155,193.5,47.2799987793,73.6600036621,101.150001526,67.3899993896,91.9100036621,83.6399993896
2018-01-02,172.259994507,177.699996948,55.3199996948,38.8600006104,127.580001831,70.7399978638,109.300003052,181.419998169,17.2884616852,1065.0,154.25,46.8499984741,85.9499969482,199.350006104,46.6300010681,73.9800033569,101.75,69.5199966431,92.8000030518,85.0299987793
2018-01-03,172.229995728,181.039993286,56.3400001526,39.1699981689,128.509994507,71.3899993896,110.930000305,184.669998169,17.4519233704,1082.47998047,158.490005493,45.2599983215,86.3499984741,212.470001221,47.7099990845,75.0,102.430000305,71.3300018311,93.2900009155,86.6999969482
2018-01-04,173.029998779,183.220001221,56.9900016785,38.9900016785,128.11000061,71.4899978638,110.949996948,184.330001831,17.8173084259,1086.40002441,161.699996948,44.4300003052,87.1100006104,213.589996338,48.1800003052,74.9599990845,102.150001526,73.0999984741,93.5899963379,86.8199996948
2018-01-05,175.0,185.339996338,56.8800010681,39.5299987793,127.900001526,72.4300003052,112.169998169,186.850006104,17.8269233704,1102.22998047,162.490005493,44.7400016785,88.1900024414,215.399993896,48.4700012207,74.5500030518,102.160003662,73.5999984741,94.0299987793,86.75
2018-01-08,174.350006104,185.039993286,57.4599990845,39.9399986267,128.529998779,72.1999969482,112.709999084,188.279998779,17.5769233704,1106.93994141,163.470001221,44.7400016785,88.2799987793,222.0,48.9799995422,75.1900024414,102.059997559,74.8000030518,94.2200012207,87.1399993896
2018-01-09,174.330001831,186.699996948,57.9300003052,39.6899986267,127.839996338,72.3199996948,111.709999084,187.869995117,17.8461532593,1106.26000977,163.830001831,43.6199989319,88.2200012207,221.940002441,49.0600013733,74.8899993896,101.720001221,74.9000015259,94.0999984741,86.7699966431
2018-01-10,174.289993286,187.11000061,57.6500015259,39.9099998474,128.660003662,72.5899963379,112.010002136,187.839996338,18.2019233704,1102.60998535,164.179992676,42.5,87.8199996948,223.679992676,48.7999992371,74.25,102.080001831,75.5999984741,94.1500015259,86.0800018311
2018-01-11,175.279998779,188.919998169,59.1800003052,40.0999984741,132.570007324,73.8799972534,115.13999939,187.770004272,18.2884616852,1105.52001953,164.199996948,43.4099998474,88.0800018311,224.080001831,48.9500007629,75.8199996948,102.370002747,77.0500030518,94.5500030518,86.9300003052
2018-01-12,177.089996338,195.050003052,60.0499992371,40.8699989319,133.600006104,73.9100036621,115.699996948,179.369995117,18.0384616852,1122.26000977,163.13999939,43.2400016785,89.5999984741,222.979995728,49.5099983215,76.5299987793,104.970001221,77.9700012207,96.75,87.5199966431
